1	554	0.421564	0.431752	0.793816
2	553	0.421959	0.432168	0.793371
3	551	0.4234	0.433625	0.792253
4	550	0.424	0.434249	0.791779
5	540	0.428466	0.438826	0.786432
6	260	0.630589	0.657928	0.641096
7	258	0.636348	0.663754	0.637838
8	256	0.637309	0.664794	0.634507
9	249	0.659038	0.68789	0.622864
10	248	0.663024	0.692052	0.622365
11	196	0.697731	0.727216	0.543041
12	194	0.699386	0.728881	0.538206
13	193	0.700008	0.729505	0.535331
14	191	0.702071	0.731586	0.531691
15	190	0.702272	0.731794	0.528949
16	189	0.709936	0.740117	0.526405
17	188	0.713034	0.743238	0.523371
18	187	0.71507	0.745318	0.520964
19	186	0.715278	0.745526	0.517467
20	185	0.716102	0.746359	0.515035
21	169	0.724539	0.75489	0.474167
22	168	0.725364	0.755722	0.471758
23	166	0.727838	0.758219	0.465542
24	165	0.730277	0.760716	0.462426
25	164	0.731873	0.76238	0.45924
26	163	0.732696	0.763213	0.455703
27	162	0.733319	0.763837	0.452148
28	161	0.733734	0.764253	0.448151
29	160	0.734764	0.765293	0.446381
30	159	0.735998	0.766542	0.443444
31	158	0.737025	0.767582	0.442706
32	156	0.737855	0.768414	0.433468
33	154	0.738891	0.769455	0.425451
34	153	0.739715	0.770287	0.422631
35	152	0.740732	0.771328	0.419079
36	151	0.741349	0.771952	0.416264
37	150	0.743644	0.774449	0.412896
38	149	0.744661	0.775489	0.409344
39	148	0.746394	0.777362	0.410002
40	138	0.751959	0.78298	0.381674
41	137	0.75278	0.783812	0.379152
42	136	0.753808	0.784852	0.374321
43	135	0.754559	0.785685	0.372105
44	133	0.755385	0.786517	0.365422
45	132	0.756656	0.787973	0.365922
46	131	0.757479	0.788806	0.360915
47	130	0.757885	0.789222	0.356309
48	129	0.758092	0.78943	0.35158
49	128	0.759052	0.79047	0.350207
50	127	0.761501	0.793175	0.346551
51	126	0.762918	0.794632	0.343183
52	125	0.764332	0.796088	0.34103
53	124	0.764742	0.796504	0.336242
54	123	0.765757	0.797545	0.334544
55	122	0.767662	0.799625	0.329409
56	121	0.768076	0.800042	0.323034
57	120	0.768693	0.800666	0.321409
58	119	0.770101	0.802122	0.317812
59	118	0.773834	0.8067	0.316733
60	117	0.774619	0.807532	0.316629
61	115	0.776252	0.809197	0.313028
62	114	0.777283	0.810237	0.309298
63	113	0.778162	0.811278	0.307095
64	112	0.77857	0.811694	0.30481
65	111	0.778984	0.81211	0.300675
66	110	0.779397	0.812526	0.298195
67	109	0.780411	0.813566	0.292058
68	108	0.781027	0.814191	0.291146
69	107	0.781437	0.814607	0.287892
70	106	0.783328	0.816687	0.284537
71	105	0.783945	0.817312	0.281929
72	104	0.78456	0.817936	0.279966
73	103	0.784764	0.818144	0.273308
74	102	0.785927	0.819392	0.27205
75	101	0.787132	0.820641	0.268638
76	100	0.788329	0.821889	0.264026
77	99	0.789487	0.823138	0.26165
78	98	0.790096	0.823762	0.260968
79	97	0.790713	0.824386	0.255955
80	96	0.79212	0.825843	0.252315
81	95	0.793448	0.827715	0.251961
82	94	0.79445	0.828756	0.250419
83	93	0.795245	0.829588	0.246043
84	92	0.796864	0.831253	0.241833
85	91	0.797467	0.831877	0.241184
86	90	0.798065	0.832501	0.239555
87	89	0.799051	0.833541	0.238009
88	88	0.79946	0.833958	0.237253
89	87	0.802178	0.836871	0.229619
90	85	0.802963	0.837703	0.219016
91	84	0.803968	0.838743	0.216729
92	83	0.805955	0.840824	0.209565
93	82	0.807081	0.842072	0.206929
94	81	0.807866	0.842905	0.205759
95	80	0.808859	0.843945	0.204884
96	79	0.810257	0.845402	0.201809
97	78	0.812214	0.84769	0.200273
98	77	0.813693	0.849771	0.192956
99	76	0.814284	0.850395	0.191855
100	75	0.815255	0.851436	0.191315
101	74	0.815854	0.85206	0.187089
102	73	0.816839	0.8531	0.184435
103	72	0.817783	0.854141	0.182538
104	71	0.819996	0.856638	0.17989
105	70	0.820915	0.857678	0.178121
106	69	0.822825	0.861007	0.175648
107	68	0.823813	0.862256	0.1719
108	67	0.824888	0.863712	0.168106
109	66	0.825845	0.864752	0.164527
110	64	0.827403	0.867041	0.159314
111	63	0.82866	0.869954	0.158832
112	62	0.829743	0.871203	0.155625
113	61	0.832255	0.87578	0.14945
114	60	0.83331	0.877029	0.148696
115	59	0.833964	0.878693	0.149199
116	58	0.835303	0.880358	0.146726
117	57	0.836548	0.882231	0.145263
118	56	0.837262	0.883063	0.141197
119	55	0.838164	0.885976	0.138916
120	54	0.839056	0.887016	0.136193
121	53	0.839891	0.888057	0.135474
122	52	0.84028	0.888473	0.131352
123	51	0.841022	0.889305	0.127316
124	50	0.84193	0.891178	0.125127
125	49	0.842497	0.891802	0.124507
126	48	0.843324	0.893467	0.121118
127	47	0.83645	0.899084	0.119903
128	46	0.837044	0.900749	0.11776
129	45	0.83779	0.901581	0.115946
130	44	0.838788	0.903246	0.113425
131	43	0.840012	0.905743	0.110976
132	42	0.840559	0.906367	0.108325
133	41	0.841684	0.908032	0.10677
134	40	0.841842	0.909904	0.105526
135	39	0.842289	0.910529	0.102257
136	38	0.842603	0.910945	0.101532
137	37	0.842982	0.911569	0.099306
138	36	0.840821	0.91365	0.0999269
139	35	0.826785	0.9201	0.0990539
140	34	0.800633	0.932168	0.0972496
141	33	0.801368	0.933	0.0952636
142	32	0.783031	0.937994	0.0945608
143	31	0.778887	0.944861	0.0895382
144	30	0.779225	0.945277	0.0839598
145	29	0.778887	0.947149	0.0821267
146	28	0.780185	0.94923	0.0789708
